date,price_mwh_eur_DAM,electricity_demand_AT,electricity_demand_BG,electricity_demand_CZ,electricity_demand_DE,electricity_demand_DK,electricity_demand_ES,electricity_demand_FR,electricity_demand_HU,electricity_demand_NL,electricity_demand_NO,electricity_demand_PL,electricity_demand_RO,electricity_demand_SE,electricity_demand_SK,irradiance_AT,irradiance_BG,irradiance_CZ,irradiance_DE,irradiance_DK,irradiance_ES,irradiance_FR,irradiance_HU,irradiance_NL,irradiance_NO,irradiance_PL,irradiance_RO,irradiance_SK,irradiance_TR,air_temp_AT,air_temp_BG,air_temp_CH,air_temp_CZ,air_temp_DE,air_temp_ES,air_temp_FI,air_temp_FR,air_temp_HR,air_temp_HU,air_temp_IE,air_temp_IS,air_temp_IT,air_temp_NL,air_temp_NO,air_temp_PL,air_temp_RO,air_temp_SE,air_temp_SI,air_temp_SK,air_temp_TR,wind_power_onshore_AT,wind_power_onshore_BE,wind_power_onshore_BG,wind_power_onshore_CZ,wind_power_onshore_DE,wind_power_onshore_DK,wind_power_onshore_EE,wind_power_onshore_EL,wind_power_onshore_ES,wind_power_onshore_FR,wind_power_onshore_HU,wind_power_onshore_IT,wind_power_onshore_LT,wind_power_onshore_LU,wind_power_onshore_LV,wind_power_onshore_NL,wind_power_onshore_NO,wind_power_onshore_PL,wind_power_onshore_RO,wind_power_onshore_SI,wind_power_onshore_SK,hydropower_reservoir_AT,hydropower_reservoir_DE,hydropower_reservoir_FR,hydropower_reservoir_RO,hydropower_reservoir_SK,time_series
2024-05-20,70.57,143674.9,89585.8,165255.7,1088425.5,72857.9,643343.4,971845.9,86327.7,252425.6,269302.6,391731.9,131303.1,318227.2,72479.6,279.51751483333334,175.65596325166666,261.99800370833333,253.7035654625,298.718176525625,275.88198393749997,220.97674040916664,258.2537736658333,209.43561199583328,285.5422846591667,243.18933849166663,223.86627684580833,232.79658136249998,280.88209265887497,287.87949375,289.31580833333334,284.14269916666666,289.4472354166667,289.02962833333333,287.10728666666665,280.48055708333334,287.1939904166667,293.2208325,292.9325445833333,288.47164416666664,276.72394541666665,290.38831,289.06841875000003,280.01871875,290.1967866666667,289.8177679166667,281.572455,290.3092120833333,289.52748,290.80161625,2902.042073068504,3840.43431135,900.99333930026,427.71211584295196,86844.5660003298,24288.313345065,1186.81845561,997.3631388,58665.89378547639,35478.522996467604,687.614104933,10317.67974761956,181.40459970193,68.6773180446674,276.73934132658,18481.4574585797,19548.298664168,3353.55775701337,15930.624488024001,1048.167894230231,10577.727816322129,13950.24,1859.28,52109.52,16802.26,619.66,1
2024-05-21,83.96,189631.1,89133.7,169393.5,1458070.2,89676.7,663094.5,1158605.6,105315.2,309486,291808.8,409008.9,135991.4,327361,74205.6,111.14387063333332,271.61686357791666,156.29620868596123,176.67067396048458,300.0140020360833,273.61406295,198.34088898770833,238.0482708177083,232.15366357916665,269.3652113125,263.6300231125,302.3096945577083,214.61357818291663,300.51380379741664,286.17178291666664,290.6382275,281.90498375,289.93640708333334,289.66602416666666,287.3070154166667,280.7268666666667,286.8808391666667,291.59774125,293.13957458333334,286.700695,276.60208166666666,289.60783250000003,290.6798504166667,282.6820025,292.53507874999997,291.4279658333333,283.33306708333333,288.3221158333333,291.07539,291.2779145833333,14937.628818304998,2705.36382255048,2381.7927838413,3077.24455044,436070.14409202,72731.256134614,2327.8813043,2636.31952762125,72557.2845963407,74540.268890822,2527.67283664,40091.7715178864,478.8236190714,95.76349940080289,1028.09671436,30235.065221576002,10013.7621120804,17793.344728317,41477.26905704,13502.465366417598,73512.0209467721,14045.64,1785.58,55498.44,17092.92,562.92,1
2024-05-22,86.97,190010.2,89104.2,169535.1,1502349.2,91937.2,664760.4,1168922.7,109353,311274.6,287925,411813,138212.8,328161.1,74609,202.08391231249996,269.49810268166664,139.32453295382416,158.32699019973458,273.8461919175,284.7840640416667,227.2946728242083,193.9392531783333,173.28163152083332,299.94790778583337,245.61430058749997,238.81820709926663,148.2614694595833,299.34035996512495,285.12258875000003,290.29250833333333,282.21814375,288.21193875,288.5423133333333,287.86004541666665,284.0124666666667,287.00891125,290.91604291666664,291.30844291666665,285.76273583333335,276.15148791666667,288.94184916666666,289.0811341666667,285.18629791666666,292.7546066666667,289.93849125,286.8058158333333,287.9127458333333,289.1111579166666,292.00937166666665,6137.823768565,24359.129708004002,1053.5885064051,1938.5777131896,341908.44450547,90401.159925076,3272.9680371,3754.14415103125,62344.0754995345,66848.5289610068,486.119848312,22619.9591176242,1686.143921915,547.938302212,1634.07117204,62070.510056627005,17699.101241926,25609.605069846002,19215.821480145,5639.62581912324,16099.5966831665,13809.58,1785.77,54728.97,15876.84,511.98,1
2024-05-23,93.15,190664.8,88557.2,167493.7,1489627.3,92125.1,666500,1170465.9,109231.3,308868.3,285713.2,412090.5,139205,324991.9,74015.8,219.37041037499998,213.9310948333333,238.84378936085832,222.6377538767158,145.39104925475,289.27913406249996,234.12697209104167,222.4563103075,218.32190925833333,264.62223853458335,151.3841745121283,209.8442115084583,199.49590019583331,264.98910422625,285.48622958333334,289.0063166666667,280.1295695833333,289.1903433333333,288.5195291666667,288.71087833333337,289.48320083333334,286.41047,290.3777733333333,291.47018291666666,283.89327875,277.05000041666665,288.53054791666665,288.4127095833333,287.8843008333333,290.95544583333333,289.98704208333334,289.21346666666665,287.70624416666664,289.37995333333333,290.70653458333334,1953.5115860404899,9924.30806647644,836.944309806,328.34240581248,118238.616463198,22971.069168971,3899.1466502,8158.405994765,38684.705082545996,24531.6527268239,318.01777827694,6629.270234477401,1751.104020884,60.77963817993086,1451.9762589,41120.9679417653,27135.494483315997,12922.7714798052,7475.386575964,971.3761795668705,5566.69538483935,14166.86,1787.8,55346.27,16051.4,539.98,1
2024-05-24,99.56,186241.3,80336.9,165122.5,1443318,86324.7,662211,1154117.6,108226.1,308856.6,283566.2,407980.5,135473.5,314850.6,73253.9,224.02011349999998,260.10983980416665,151.21774552432498,187.3349563118958,233.69811974624997,322.1629300020833,245.96426101374996,206.59709647645832,143.72119846666666,217.79404665,243.44055053655666,284.8541571025,205.63406309666664,220.34180397958332,285.1402954166667,290.41590041666666,280.75588375,287.8982879166667,288.1037058333333,290.52741,289.38701541666666,286.3589925,291.31493333333333,291.05299916666667,283.98395791666667,279.3370141666667,289.07379833333334,287.9629708333333,285.2392525,291.73943125,291.6244716666667,288.29549249999997,288.3378870833333,289.04857208333334,288.1347779166667,1031.1240353763,2607.287514005997,1667.2147794813,253.36400225789998,79215.571915858,6987.1516653246,2391.759089,2319.5049345825,33026.8913353581,7641.02216261629,304.544105775,3054.3129825564,1262.2594438,20.8339928136426,999.73641146,16672.78247374086,20396.582660691998,12799.9245315267,26142.309568487,5073.487079754916,13348.5086044175,14875.2,1959.44,54904.66,16097.76,584.88,1
2024-05-25,71.48,158481.6,79235.9,140695.5,1223701.8,74736.1,592589.9,1000305.3,99813.6,266074.7,261896.9,369473.7,123943.2,279387.7,66913.6,209.538566125,286.17021402916663,206.2487529125708,223.74654037877085,191.13141914541666,322.4396974125,264.4467845822916,265.6072969020833,165.3875145833333,238.98389945833333,256.4884717785291,290.13951192854165,271.1198782375,246.79233528854164,284.9488416666667,290.63031541666663,281.42037208333335,288.27813875,288.54681750000003,292.07564833333333,285.97505874999996,288.1276204166667,291.7132270833333,292.67801000000003,284.72467708333335,280.68148291666665,288.38224583333334,288.5286429166667,285.59540541666667,291.81312375,291.10087916666663,287.7597333333333,288.59592333333336,290.1920575,288.4192220833333,1595.39761803262,6986.00685998124,3103.9644541165,461.2945371648,41506.7984040879,12689.7916497198,471.92032561,3261.064597905,55350.2056179294,16942.0742234513,1000.351593479,2906.9668114436604,478.75923434230003,32.094543655696,248.946173648,16417.7674489568,14802.9262874936,9594.6784502684,36385.14274322,1284.0126452385755,23384.8966000021,16843.46,1972.98,50100.57,15665.31,571.29,1
2024-05-26,58.52,143794.3,81134.5,136739.7,1113455.6,73847.8,541551.3,946065.4,93702.6,248201.6,256066.9,329139.3,110421.5,275155.8,64566.2,202.56051283333332,302.46773931666667,232.21296491166663,259.75504407654165,224.23969301499997,300.68076349166665,211.82686647291666,246.05307057083328,213.76581482916663,251.60213230416664,283.27036150041664,320.9088966985,262.8047041666667,255.98479840791663,285.8539591666667,289.84583000000003,283.99192250000004,289.58885791666665,290.30446416666666,292.22510416666665,288.53359083333334,288.8379029166667,290.1623225,292.6251854166667,284.59173625,280.97874583333333,289.92622,289.2591341666667,288.13095625,292.59471333333335,291.00255125,289.2599354166667,288.3423245833333,290.68708291666667,288.55280625,789.38912020716,16678.09265304,2804.5457997892,277.13840950284,106278.877825054,17956.2819116296,266.4528657881,6160.9565633875,46734.95636768225,68247.1757887234,508.3214778005,7368.628762947001,342.71572432150003,433.52676622800004,177.023067112,34997.114170915,19911.928910002,10579.4670682713,22272.155764696,1884.114307692812,10707.84824360169,16376.52,1949.81,50846.03,15271.01,596.33,1
2024-05-27,101.85,186024.3,86815,164227.2,1444192.3,89860.7,655382.6,1137269.1,106133.5,302650.6,284054.5,397708.6,130833.8,324807.2,72396.8,239.16010779166663,268.90400137916663,246.097726141875,216.87987033823333,230.53937972208334,290.8706074375,181.18427470291667,287.6209846570833,233.33004516666665,194.96578378333334,293.7338570827333,228.53343506283332,288.12837384999995,252.60506127083332,287.35216583333334,288.2420220833333,283.5525558333333,290.50144916666665,289.8746508333333,291.8196395833333,291.30528791666666,286.9873791666667,291.69234,293.0933470833333,284.8098741666667,280.4759345833333,290.3621258333333,287.93636375,286.24176875,293.1878316666667,288.7721925,289.76724458333337,289.72642291666665,291.3344054166667,288.5826129166667,2135.58944377551,6805.1086222392005,2438.9445674436,448.7017773048,81777.069916979,20869.1824689502,463.513937004,4737.9408369775,50346.630422820796,46139.8920667475,564.7362606165,2812.9594003145403,313.5044457683,207.22715646032,178.498601062,26627.9180590918,12110.083301186,14356.807102067502,29091.350768308,766.86974511798,7458.3958629135195,16833.53,1945.39,48850.44,15616.47,536.58,1
2024-05-28,90.94,192354.7,88233.5,167089.3,1482622.3,92735.7,678986.1,1161505.7,109066.5,307152.4,283523.5,410540.3,136141.7,323817.5,73677.4,143.4193300833333,260.72189846416666,180.5661210743333,198.220308196,108.24858243333331,334.4822298625,200.3497339433333,279.7706419091666,209.989995325,189.24039455416667,252.56415522344582,216.46901604166666,265.0731621708333,268.71423778499997,284.2336808333333,288.14087625,282.85495125,287.86316708333334,287.25579666666664,293.045385,291.37203666666665,287.6610758333333,291.40207791666666,292.35674666666665,286.4406695833333,280.125855,290.4079991666667,287.38375333333335,285.38283083333334,292.1513616666667,288.57273,290.0133625,288.3410566666667,290.53770375,289.5208754166667,8689.9936144224,27618.080063028003,299.63558526929,1091.3143429296,201938.70278503,24831.9399761818,518.0740925,1577.86973558,34480.9137621026,92825.154261784,1044.3861900913,3715.60653360182,396.144888717,541.3144958628,286.841240578,57412.249523424005,8860.799372862799,14746.838887985,7017.247412821,6413.9858956732305,31890.4213469536,15973.5,2037.75,46803.4,16073.57,484.17,1
2024-05-29,81.99,186913.8,88971.7,166716.9,1469661.1,92677.6,693254.1,1187133.6,109456.6,306902.4,282134.4,394826.9,137993.4,326941.1,73839.8,263.0734493125,259.39779021249996,232.24881935390042,161.62410104191665,143.57965615416666,331.2847081244487,133.73293988334123,282.9010644375,192.8494784083333,213.54988027916667,237.36769234199997,183.07660243583334,255.85774517083328,292.46740231625,286.05981916666667,288.51584791666664,283.3221766666667,288.19117458333335,287.92970333333335,294.95628791666667,290.76957583333336,288.113345,291.20479916666665,292.4256,286.09173125,278.4047875,290.57029958333334,288.291935,285.53798958333334,291.09342125,287.9775108333333,289.3641791666667,289.0974925,290.0892108333333,290.75112583333333,2128.12510936231,26393.366295332402,346.82787236153,206.4701421243,338767.41098298,68933.543294,346.73093298599997,808.356458507,31746.79143652909,105793.221347751,1273.249042849,3494.7827070008602,237.37666735023,1006.420556638,173.1706296384,73920.296926935,19533.9482231256,4167.7721136367,4563.4410296475,1743.197490741064,28021.427872839,16547.09,2287.13,47949.31,14636.49,445.31,1
