universal_time,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability,Altitude,Latitude,Longitude,date
2020-05-27T00:00:00.0/2020-05-28T00:00:00.0,11190.7324,8554.1738,7087.4907,1466.6833,11307.9062,8079.9639,6112.9487,1967.0149,10135.9863,0.9694,,,,27/05/2020/
2020-05-28T00:00:00.0/2020-05-29T00:00:00.0,11222.3906,8112.7607,6088.6992,2024.0616,9399.6787,4073.7563,1072.5609,3001.1953,1495.4253,0.9635,,,,28/05/2020/
2020-05-29T00:00:00.0/2020-05-30T00:00:00.0,11252.7207,8470.0811,6982.1196,1487.9614,10920.8848,7559.4565,4919.7412,2639.7158,7637.9551,0.9788,,,,29/05/2020/
2020-05-30T00:00:00.0/2020-05-31T00:00:00.0,11281.7568,8670.2461,7524.1611,1146.0848,12055.8359,6699.8232,3962.3279,2737.4954,5972.4731,0.9785,,,,30/05/2020/
2020-05-31T00:00:00.0/2020-06-01T00:00:00.0,11309.4629,8238.6191,6374.3252,1864.2941,10072.8184,2334.2268,66.1806,2268.0461,140.4329,0.9774,,,,31/05/2020/
2020-06-01T00:00:00.0/2020-06-02T00:00:00.0,11335.8291,8637.6631,7472.9507,1164.7129,12050.5068,7644.5752,5318.8730,2325.7021,8981.6758,0.9767,,,,01/06/2020/
2020-06-02T00:00:00.0/2020-06-03T00:00:00.0,11360.8301,8491.4746,7167.9004,1323.5739,11462.7354,4735.8491,1858.0220,2877.8274,4199.2197,0.9764,,,,02/06/2020/
2020-06-03T00:00:00.0/2020-06-04T00:00:00.0,11384.5029,8370.1660,6796.4766,1573.6895,10650.1445,7693.9766,5111.3354,2582.6411,7976.8857,0.9757,,,,03/06/2020/
2020-06-04T00:00:00.0/2020-06-05T00:00:00.0,11406.7822,7895.1577,5413.3774,2481.7803,8279.3301,4786.5244,1630.6589,3155.8652,2351.1001,0.9753,,,,04/06/2020/
2020-06-05T00:00:00.0/2020-06-06T00:00:00.0,11427.7285,8474.3281,7140.8530,1333.4752,11311.0898,3902.1123,1278.3912,2623.7209,1957.6177,0.9747,,,,05/06/2020/
2020-06-06T00:00:00.0/2020-06-07T00:00:00.0,11447.2617,8538.9111,7353.9302,1184.9807,11761.4395,2996.4263,325.3364,2671.0898,711.7882,0.9743,,,,06/06/2020/
2020-06-07T00:00:00.0/2020-06-08T00:00:00.0,11465.4326,8239.7793,6481.2612,1758.5175,9974.0830,3685.7515,945.4048,2740.3464,1362.8988,0.9740,,,,07/06/2020/
2020-06-08T00:00:00.0/2020-06-09T00:00:00.0,11482.2080,8348.2764,6517.7314,1830.5457,10138.2070,4511.1396,1274.3956,3236.7441,2550.5679,0.9736,,,,08/06/2020/
2020-06-09T00:00:00.0/2020-06-10T00:00:00.0,11497.6143,8157.8735,6040.1450,2117.7285,9203.6426,4573.7529,1034.0935,3539.6592,1343.4443,0.9729,,,,09/06/2020/
2020-06-10T00:00:00.0/2020-06-11T00:00:00.0,11511.5732,8149.9668,6051.9336,2098.0334,9237.0488,1819.5107,9.3050,1810.2058,21.0902,0.9729,,,,10/06/2020/
2020-06-11T00:00:00.0/2020-06-12T00:00:00.0,11524.1592,8524.1875,7083.3560,1440.8315,10996.6865,5548.6167,2322.1853,3226.4314,3681.0979,0.9726,,,,11/06/2020/
2020-06-12T00:00:00.0/2020-06-13T00:00:00.0,11535.3291,8104.5830,5855.6533,2248.9299,8920.8916,6862.9155,3798.4233,3064.4922,5340.6670,0.9726,,,,12/06/2020/
2020-06-13T00:00:00.0/2020-06-14T00:00:00.0,11545.0967,8014.0859,5653.0586,2361.0273,8490.2822,6523.6104,3563.1277,2960.4827,5174.1777,0.9722,,,,13/06/2020/
2020-06-14T00:00:00.0/2020-06-15T00:00:00.0,11553.4629,7916.4878,5294.7461,2621.7415,8005.2056,2202.2927,185.0792,2017.2135,490.8580,0.9715,,,,14/06/2020/
2020-06-15T00:00:00.0/2020-06-16T00:00:00.0,11560.3740,8592.9863,6924.7485,1668.2382,10765.3633,7121.5918,3273.1411,3848.4504,5551.6689,0.9715,,,,15/06/2020/
2020-06-16T00:00:00.0/2020-06-17T00:00:00.0,11565.8867,8369.0400,6431.8774,1937.1628,9940.4834,7822.6162,4989.5396,2833.0764,7675.6323,0.9660,,,,16/06/2020/
2020-06-17T00:00:00.0/2020-06-18T00:00:00.0,11569.9590,8158.0625,5955.0137,2203.0488,9128.0117,4589.2910,1143.1906,3446.1006,2225.3872,0.9712,,,,17/06/2020/
2020-06-18T00:00:00.0/2020-06-19T00:00:00.0,11572.6025,7913.6318,5306.1147,2607.5173,7910.8394,2999.3816,284.6367,2714.7449,427.8193,0.9712,,,,18/06/2020/
2020-06-19T00:00:00.0/2020-06-20T00:00:00.0,11573.8496,8039.7056,5730.4458,2309.2600,8601.3154,2242.4521,90.4891,2151.9629,275.9273,0.9708,,,,19/06/2020/
2020-06-20T00:00:00.0/2020-06-21T00:00:00.0,11573.6289,8302.2139,6503.9204,1798.2928,9991.4395,1485.1294,13.9208,1471.2086,114.9430,0.9712,,,,20/06/2020/
2020-06-21T00:00:00.0/2020-06-22T00:00:00.0,11572.0127,8281.1045,6476.2964,1804.8076,9970.0459,1352.4033,4.8308,1347.5725,8.8013,0.9712,,,,21/06/2020/
2020-06-22T00:00:00.0/2020-06-23T00:00:00.0,11568.9746,8465.4189,6892.3433,1573.0757,10670.5879,6882.5547,4590.7109,2291.8440,6318.4941,0.9712,,,,22/06/2020/
2020-06-23T00:00:00.0/2020-06-24T00:00:00.0,11564.5146,8727.5352,7227.7383,1499.7969,11293.9668,8249.8027,6393.9521,1855.8511,9628.5107,0.9712,,,,23/06/2020/
2020-06-24T00:00:00.0/2020-06-25T00:00:00.0,11558.6162,8409.7324,6597.3989,1812.3340,10302.5625,5703.9707,2539.5076,3164.4629,4676.2822,0.9715,,,,24/06/2020/
2020-06-25T00:00:00.0/2020-06-26T00:00:00.0,11551.3379,8251.0957,6178.1523,2072.9436,9317.0703,6633.5874,3648.9551,2984.6321,5459.8252,0.9715,,,,25/06/2020/
2020-06-26T00:00:00.0/2020-06-27T00:00:00.0,11542.6465,8171.0830,6085.9951,2085.0879,9281.1904,4763.9561,1576.7982,3187.1577,2627.5281,0.9715,,,,26/06/2020/
2020-06-27T00:00:00.0/2020-06-28T00:00:00.0,11532.5391,8114.7422,6043.9634,2070.7788,9353.4043,7742.2104,5019.2412,2722.9692,8131.8740,0.9719,,,,27/06/2020/
2020-06-28T00:00:00.0/2020-06-29T00:00:00.0,11521.0518,8203.0156,6386.2559,1816.7596,9704.1631,6757.2812,4461.7993,2295.4817,6724.2925,0.9667,,,,28/06/2020/
2020-06-29T00:00:00.0/2020-06-30T00:00:00.0,11508.1572,8328.5488,6690.7070,1637.8422,10340.6523,3278.2908,1227.1730,2051.1179,2663.4043,0.9722,,,,29/06/2020/
2020-06-30T00:00:00.0/2020-07-01T00:00:00.0,11493.8682,8589.3643,7116.6304,1472.7333,11174.8066,8388.8213,6683.6362,1705.1855,10405.0752,0.9726,,,,30/06/2020/
2020-07-01T00:00:00.0/2020-07-02T00:00:00.0,11478.2324,8540.5137,7380.2114,1160.3027,11731.5781,8446.0381,7222.4512,1223.5865,11322.4199,0.9622,,,,01/07/2020/
2020-07-02T00:00:00.0/2020-07-03T00:00:00.0,11461.1836,8251.7422,6597.0571,1654.6852,10335.1182,5241.7197,2683.8538,2557.8662,4332.2007,0.9681,,,,02/07/2020/
2020-07-03T00:00:00.0/2020-07-04T00:00:00.0,11442.7900,8402.5615,6804.9072,1597.6541,10601.5156,4834.1748,1946.6681,2887.5066,3109.0659,0.9736,,,,03/07/2020/
2020-07-04T00:00:00.0/2020-07-05T00:00:00.0,11423.0459,8338.0771,6695.9722,1642.1051,10465.5254,8087.4922,6155.8735,1931.6187,9829.3076,0.9740,,,,04/07/2020/
2020-07-05T00:00:00.0/2020-07-06T00:00:00.0,11401.9648,8307.0742,6909.2124,1397.8619,10904.1836,7334.0195,5323.0161,2011.0038,7915.3384,0.9743,,,,05/07/2020/
2020-07-06T00:00:00.0/2020-07-07T00:00:00.0,11379.5107,8463.9736,7113.3125,1350.6610,11282.4971,4061.6685,1421.5999,2640.0686,3069.4375,0.9753,,,,06/07/2020/
2020-07-07T00:00:00.0/2020-07-08T00:00:00.0,11355.7637,8639.4287,7298.6968,1340.7323,11562.9756,5171.7090,1860.6548,3311.0540,4144.8911,0.9757,,,,07/07/2020/
2020-07-08T00:00:00.0/2020-07-09T00:00:00.0,11330.6660,8284.4912,6773.7446,1510.7460,10620.7324,2612.8818,242.1331,2370.7488,687.8947,0.9760,,,,08/07/2020/
2020-07-09T00:00:00.0/2020-07-10T00:00:00.0,11304.3135,8064.1807,6354.6982,1709.4824,9831.2920,3695.4963,524.3436,3171.1528,1046.7463,0.9760,,,,09/07/2020/
2020-07-10T00:00:00.0/2020-07-11T00:00:00.0,11276.6191,8222.1123,6823.2080,1398.9041,10610.6934,7867.4497,6243.9219,1623.5278,9341.2480,0.9559,,,,10/07/2020/
2020-07-11T00:00:00.0/2020-07-12T00:00:00.0,11247.6328,8119.2993,6422.0015,1697.2977,9985.8760,2058.8447,143.4188,1915.4260,294.9019,0.9774,,,,11/07/2020/
2020-07-12T00:00:00.0/2020-07-13T00:00:00.0,11217.3672,8297.5127,6618.3418,1679.1711,10408.3838,6955.1807,4279.2290,2675.9514,6980.9727,0.9781,,,,12/07/2020/
2020-07-13T00:00:00.0/2020-07-14T00:00:00.0,11185.8691,8284.5605,6625.1133,1659.4475,10487.0508,7760.4370,5496.8887,2263.5481,9011.6123,0.9785,,,,13/07/2020/
2020-07-14T00:00:00.0/2020-07-15T00:00:00.0,11153.1025,8319.9023,6849.6553,1470.2471,10886.7285,8319.9023,6849.6553,1470.2471,10886.7285,0.9740,,,,14/07/2020/
2020-07-15T00:00:00.0/2020-07-16T00:00:00.0,11119.0586,7962.8774,6076.6685,1886.2089,9580.3086,4881.2949,1886.1797,2995.1152,3342.9563,0.9750,,,,15/07/2020/
2020-07-16T00:00:00.0/2020-07-17T00:00:00.0,11083.8135,7994.5493,6288.4878,1706.0618,9876.8438,3393.3086,645.9941,2747.3147,865.3149,0.9705,,,,16/07/2020/
2020-07-17T00:00:00.0/2020-07-18T00:00:00.0,11047.3525,8046.7026,6390.6455,1656.0570,10004.4834,3637.1814,944.1169,2693.0645,1770.0983,0.9712,,,,17/07/2020/
2020-07-18T00:00:00.0/2020-07-19T00:00:00.0,11009.6895,7671.4585,5511.3911,2160.0674,8660.9355,3352.4155,521.5681,2830.8474,780.0997,0.9719,,,,18/07/2020/
2020-07-19T00:00:00.0/2020-07-20T00:00:00.0,10970.8379,7461.3965,4957.0327,2504.3638,7594.9409,5698.1719,2689.7224,3008.4495,3977.0867,0.9726,,,,19/07/2020/
2020-07-20T00:00:00.0/2020-07-21T00:00:00.0,10930.8096,7629.3457,5528.0488,2101.2969,8688.8350,6160.5132,2623.8740,3536.6394,4426.8652,0.9736,,,,20/07/2020/
2020-07-21T00:00:00.0/2020-07-22T00:00:00.0,10889.5967,7617.2578,5488.4414,2128.8169,8553.5527,6139.6187,3226.4641,2913.1545,4695.5947,0.9743,,,,21/07/2020/
2020-07-22T00:00:00.0/2020-07-23T00:00:00.0,10847.2441,7943.1719,6301.5684,1641.6035,9984.9248,7803.0342,5994.2178,1808.8164,9461.1719,0.9753,,,,22/07/2020/
2020-07-23T00:00:00.0/2020-07-24T00:00:00.0,10803.7949,7862.0747,6254.1987,1607.8759,9941.6699,7094.1738,4652.9868,2441.1868,7116.1670,0.9760,,,,23/07/2020/
2020-07-24T00:00:00.0/2020-07-25T00:00:00.0,10759.2275,7717.0762,6005.6943,1711.3818,9514.7520,6773.3115,3453.1409,3320.1704,5593.6294,0.9767,,,,24/07/2020/
2020-07-25T00:00:00.0/2020-07-26T00:00:00.0,10713.5322,7791.1855,6279.4321,1511.7533,10107.4160,6081.0488,3100.2334,2980.8154,5347.2910,0.9778,,,,25/07/2020/
2020-07-26T00:00:00.0/2020-07-27T00:00:00.0,10666.7588,7592.0840,5869.5239,1722.5597,9449.9854,4432.7964,1040.5505,3392.2456,2262.5413,0.9788,,,,26/07/2020/
2020-07-27T00:00:00.0/2020-07-28T00:00:00.0,10618.9482,7718.2773,6238.4722,1479.8051,9993.9092,6604.5420,3821.2390,2783.3032,6908.9580,0.9795,,,,27/07/2020/
2020-07-28T00:00:00.0/2020-07-29T00:00:00.0,10570.0498,7768.7085,6711.0444,1057.6643,10996.5088,6841.4028,4992.0361,1849.3665,7571.1313,0.9806,,,,28/07/2020/
2020-07-29T00:00:00.0/2020-07-30T00:00:00.0,10520.1279,7797.6123,6360.0752,1437.5375,10273.1611,7586.4985,5853.9600,1732.5386,9065.8320,0.9764,,,,29/07/2020/
2020-07-30T00:00:00.0/2020-07-31T00:00:00.0,10469.2070,7783.6655,6644.1479,1139.5175,10965.5781,7703.3813,6443.0088,1260.3724,10681.7559,0.9719,,,,30/07/2020/
2020-07-31T00:00:00.0/2020-08-01T00:00:00.0,10417.2207,7661.9453,6518.2729,1143.6721,10784.6084,7498.7871,6116.3530,1382.4344,10176.4404,0.9733,,,,31/07/2020/
2020-08-01T00:00:00.0/2020-08-02T00:00:00.0,10364.3115,7804.7207,6815.7515,988.9691,11418.3428,7767.8047,6747.0332,1020.7713,11251.3340,0.9740,,,,01/08/2020/
2020-08-02T00:00:00.0/2020-08-03T00:00:00.0,10310.3867,7352.7217,5865.2788,1487.4425,9503.3418,1827.0405,11.4755,1815.5651,20.9500,0.9646,,,,02/08/2020/
2020-08-03T00:00:00.0/2020-08-04T00:00:00.0,10255.5098,7277.2153,5807.5742,1469.6414,9439.5234,1659.3011,38.9496,1620.3514,88.5819,0.9760,,,,03/08/2020/
2020-08-04T00:00:00.0/2020-08-05T00:00:00.0,10199.6875,7449.7046,6260.7881,1188.9165,10411.6143,1898.8071,25.4398,1873.3673,173.1522,0.9771,,,,04/08/2020/
2020-08-05T00:00:00.0/2020-08-06T00:00:00.0,10142.9209,7483.4824,6292.9048,1190.5778,10479.7324,7305.9795,5906.9136,1399.0657,9823.1143,0.9785,,,,05/08/2020/
2020-08-06T00:00:00.0/2020-08-07T00:00:00.0,10085.2607,7112.8804,5421.8994,1690.9808,8909.2314,6964.5723,5099.2266,1865.3458,8447.0137,0.9792,,,,06/08/2020/
2020-08-07T00:00:00.0/2020-08-08T00:00:00.0,10026.6846,7169.4004,5579.9663,1589.4340,9075.8271,7093.4502,5424.8506,1668.5996,8821.7393,0.9802,,,,07/08/2020/
2020-08-08T00:00:00.0/2020-08-09T00:00:00.0,9967.1953,6981.1831,5055.2959,1925.8871,8190.7192,6981.1831,5055.2959,1925.8871,8190.7192,0.9816,,,,08/08/2020/
2020-08-09T00:00:00.0/2020-08-10T00:00:00.0,9906.8994,6912.5918,5043.3599,1869.2322,8189.1304,6912.5918,5043.3599,1869.2322,8189.1304,0.9771,,,,09/08/2020/
2020-08-10T00:00:00.0/2020-08-11T00:00:00.0,9845.6875,6583.9346,4304.3345,2279.6003,6853.9609,4183.8950,2191.4863,1992.4088,3456.6367,0.9733,,,,10/08/2020/
2020-08-11T00:00:00.0/2020-08-12T00:00:00.0,9783.6650,6874.5610,5197.2217,1677.3394,8554.6807,6122.7500,4006.2825,2116.4675,6332.8774,0.9743,,,,11/08/2020/
2020-08-12T00:00:00.0/2020-08-13T00:00:00.0,9720.7822,7014.6704,5695.0923,1319.5785,9617.9199,6735.3179,5134.7783,1600.5397,8727.5967,0.9757,,,,12/08/2020/
2020-08-13T00:00:00.0/2020-08-14T00:00:00.0,9657.1719,6861.4517,5398.9600,1462.4919,9035.2744,6794.1870,5268.0444,1526.1422,8736.5264,0.9764,,,,13/08/2020/
2020-08-14T00:00:00.0/2020-08-15T00:00:00.0,9592.7246,6566.2002,4673.6724,1892.5277,7705.5601,4561.4653,1243.4355,3318.0300,1862.6313,0.9774,,,,14/08/2020/
2020-08-15T00:00:00.0/2020-08-16T00:00:00.0,9527.4883,6378.2012,4260.5400,2117.6609,6928.8203,3863.3130,882.5383,2980.7747,1588.3383,0.9788,,,,15/08/2020/
2020-08-16T00:00:00.0/2020-08-17T00:00:00.0,9461.5137,6855.2349,5482.4873,1372.7477,9257.1211,6855.2349,5482.4873,1372.7477,9257.1211,0.9799,,,,16/08/2020/
2020-08-17T00:00:00.0/2020-08-18T00:00:00.0,9394.7803,6740.4272,5307.8076,1432.6200,8997.7754,6039.7578,3960.8940,2078.8635,6993.7480,0.9812,,,,17/08/2020/
2020-08-18T00:00:00.0/2020-08-19T00:00:00.0,9327.3506,6391.0620,4571.6826,1819.3794,7630.0210,3607.0940,966.0352,2641.0588,1394.8834,0.9823,,,,18/08/2020/
2020-08-19T00:00:00.0/2020-08-20T00:00:00.0,9259.1953,6417.4224,4621.5640,1795.8580,7829.0767,5802.3374,3501.2468,2301.0903,5985.6074,0.9785,,,,19/08/2020/
2020-08-20T00:00:00.0/2020-08-21T00:00:00.0,9190.3848,6656.0425,5511.4194,1144.6229,9577.6865,6637.6377,5478.4473,1159.1907,9485.8242,0.9743,,,,20/08/2020/
2020-08-21T00:00:00.0/2020-08-22T00:00:00.0,9120.8818,6701.1118,5891.5625,809.5491,10543.1787,6701.1118,5891.5625,809.5491,10543.1787,0.9757,,,,21/08/2020/
2020-08-22T00:00:00.0/2020-08-23T00:00:00.0,9050.7666,6301.8311,4881.7832,1420.0481,8505.4443,4068.1995,1640.6198,2427.5796,2828.3203,0.9767,,,,22/08/2020/
2020-08-23T00:00:00.0/2020-08-24T00:00:00.0,8979.9932,6373.6812,4723.4868,1650.1947,8175.0801,4487.8511,1869.5162,2618.3347,3609.5071,0.9785,,,,23/08/2020/
2020-08-24T00:00:00.0/2020-08-25T00:00:00.0,8908.6465,6577.2329,5447.7974,1129.4359,9690.2100,5593.8818,2873.6687,2720.2129,5640.4980,0.9792,,,,24/08/2020/
2020-08-25T00:00:00.0/2020-08-26T00:00:00.0,8836.6777,6524.0605,5478.6885,1045.3719,9849.4160,6005.2241,4387.0024,1618.2220,8092.3730,0.9806,,,,25/08/2020/
2020-08-26T00:00:00.0/2020-08-27T00:00:00.0,8764.1768,6548.4585,5671.5537,876.9044,10299.5938,5834.0122,4475.9556,1358.0566,7355.8228,0.9816,,,,26/08/2020/
2020-08-27T00:00:00.0/2020-08-28T00:00:00.0,8691.0850,6428.6797,5347.9717,1080.7084,9645.8105,3157.3042,551.0815,2606.2227,1094.3392,0.9830,,,,27/08/2020/
2020-08-28T00:00:00.0/2020-08-29T00:00:00.0,8617.5020,6290.8145,5386.1294,904.6854,9846.0967,5399.2222,3589.0623,1810.1599,6319.0879,0.9788,,,,28/08/2020/
2020-08-29T00:00:00.0/2020-08-30T00:00:00.0,8543.3623,6093.3940,5015.9028,1077.4915,8989.2461,2251.2729,94.5702,2156.7026,198.3852,0.9750,,,,29/08/2020/
2020-08-30T00:00:00.0/2020-08-31T00:00:00.0,8468.7695,5732.5078,4052.4121,1680.0953,7284.1636,1374.6479,49.1308,1325.5171,236.2421,0.9760,,,,30/08/2020/
2020-08-31T00:00:00.0/2020-09-01T00:00:00.0,8393.6846,6093.1807,5065.6401,1027.5409,9313.6846,2514.6511,258.3344,2256.3169,582.6089,0.9771,,,,31/08/2020/
2020-09-01T00:00:00.0/2020-09-02T00:00:00.0,8318.1201,5988.7095,4795.3545,1193.3551,8764.8838,1637.5333,69.6468,1567.8865,298.2711,0.9733,,,,01/09/2020/
