date,air_temp_CZ,air_temp_DE,air_temp_HU,air_temp_RO,air_temp_SK,precipitation_CZ,precipitation_DE,precipitation_HU,precipitation_RO,precipitation_SK,electricity_daily_average_CZ,irradiance_CZ,irradiance_DE,irradiance_HU,irradiance_RO,irradiance_SK,electricity_demand_CZ,electricity_demand_DE,electricity_demand_HU,electricity_demand_RO,electricity_demand_SK,wind_speed_CZ,wind_speed_DE,wind_speed_HU,wind_speed_RO,wind_speed_SK,hydro_energy_DE,hydro_energy_FR,hydro_energy_RO,hydro_energy_SK,time_series
2020-06-06,12.83,13.29,17.03,16.13,14.11,0.00369093735382419,0.00450641888817026,0.000949357679635779,0.000598117526289127,0.00300752228881018,148.27,163.105645476808,118.086610011737,247.464682802333,281.506078875277,231.699216897605,-2769564.4,-928982,94849.4,67539.9,-26456.9,5.27269881082369,7.18886342041642,3.57387429223285,5.49850873412471,3.29368264130247,3377.66,39259.88,26081.03,1155.19,1
2020-06-07,16.15,15.49,18.66,15.70,15.72,0.00269502291764002,0.00362771535128279,0.00490632860426725,0.00550215568635975,0.00289304864662183,378.20,260.370053515755,190.348016241508,229.954280694846,183.881261650177,236.023967272277,-2774243.7,-1055932.5,90347.7,55939.3,-28855.5,5.53671875664394,5.90519723355287,4.40961320165587,3.42093579752551,3.89088461432194,3353.64,39144,25055.43,1149.72,1
2020-06-08,16.33,14.52,19.67,17.97,16.07,0.00595278292329294,0.00653813109149481,0.0211193294572466,0.00206739124253661,0.0272435952339014,950.85,186.004933961605,159.261867911066,187.510096918603,256.432351291459,129.021357999619,-2746332.4,-727587.1,104513.7,74370.1,-20276.9,6.04007462130191,7.6966220087331,4.87902937909161,3.39555581351475,4.5301369438005,3284.1,38947.05,26750.88,1130.03,1
2020-06-09,12.11,11.85,15.56,16.31,12.86,0.00189327728104823,0.00192869160963702,0.00613894124947094,0.0072712395416477,0.0100289671549143,944.40,231.292274771975,197.71179076773,213.7559259233,184.414066659793,192.299531958348,-2744069,-669405,105448.2,79502.9,-19350.3,9.53967366864843,8.22135366873729,9.2913587017311,8.00066684020633,8.96193783268884,3332.74,39353.08,26141.22,1126.6,1
2020-06-10,12.48,14.65,14.79,13.81,12.73,0.00011596792095722,0.00286259700868024,7.94733498952888e-05,0.00068061422240991,0.000189506669674634,882.84,170.958540595319,168.969946953788,246.877970190288,256.70844214033,234.825280446962,-2743806.8,-687922.3,105837.7,80773.7,-19586.9,5.03508461666865,5.20455504261399,5.49335837741169,6.64843552261455,5.44247543328735,3303.32,39099.97,22923.09,1126.6,1
2020-06-11,15.71,14.71,20.22,17.23,17.73,0.0101481777531682,0.00390705955942271,2.73747757100481e-05,5.51845752024076e-05,2.9433262496805e-05,665.09,179.624528726915,187.633296738227,301.105159844371,273.9202545338,287.841536383472,-2745220,-941086,107819.5,80909.8,-19451.9,3.24497919903277,7.19470794645411,3.42683321089475,4.27331618624371,2.42478054540428,3265.44,39049.54,26189.85,1126.22,1
2020-06-12,14.13,13.07,21.78,21.84,17.43,0.0032487668538227,0.00296871382609782,8.74872981071928e-05,0.000134291852278368,0.000556566051849459,566.72,187.874226218152,187.194699759689,261.294200069441,305.375155062857,139.569972888634,-2748667.1,-801002,108520.7,83357.8,-19273.8,4.87185478302608,7.76199692905108,3.92851040854342,2.70142475136962,3.15377196722187,3275.76,38909.19,26920.2,1121.36,1
2020-06-13,13.45,12.04,20.83,24.47,16.97,0.00353123510560565,0.00203246555492055,0.00317837706729624,0.00110752301120005,0.00403082104913156,496.60,193.129937367852,196.502524194652,205.784039335231,290.578018181455,163.896540674635,-2772292.5,-909915,97868.3,74658.3,-25998.3,3.74429303972497,6.11206859091881,2.69139311287762,2.91519977647261,2.11965538009841,3226.78,39820.86,26506.85,1116.88,1
2020-06-14,13.22,11.93,18.93,24.57,15.43,0.00291959603932841,0.00150065352880916,0.00479562508048724,0.00375940767174813,0.00431919070321503,477.81,236.722916777208,215.59185661617,179.639921100641,262.562497210655,188.881848404807,-2775885.6,-1021167.5,91363.8,62211.6,-28840.1,4.60093656655104,6.71525440526091,3.36708667388607,3.39109154679995,3.15737108772892,3226.8,39052.13,26503.56,1109.23,1
2020-06-15,12.76,12.09,18.68,20.96,15.04,0.000433439588647094,0.00146456187646618,3.95169999061645e-05,0.00292278904542117,0.000289909088960065,868.25,258.482277965698,202.536249614843,280.98215367829,254.44861920328,256.261032183438,-2747277.2,-686991.2,103817.8,76611.9,-21413.6,5.00238336493519,6.84447295482448,2.97563387045717,3.68053856881026,2.93350471621659,3215.43,39341.79,26379.44,1096.42,1
2020-06-16,11.96,12.65,17.16,19.79,14.32,0.000717893721551744,0.00100977631770492,0.000225178232115441,0.001321650434264,0.000608001419207096,988.77,221.886262927221,211.235369112207,192.289178857072,274.829008652194,229.088298697248,-2744521.8,-640750.8,106316.6,80742.5,-19577.8,5.03219285904982,5.85480938605716,3.51672837039445,2.76272619325483,3.40126554636889,3217.92,38578.55,25155.16,1093.05,1
2020-06-17,15.44,15.14,19.37,19.39,16.08,0.0032176421968802,0.00616167439500905,2.71450113482848e-05,0.000602338494564963,0.000265177459041455,876.06,239.801669135009,208.900693077765,284.535110599528,285.986433968091,266.316433204525,-2745280.3,-645934.3,107180,80990.8,-19362.3,4.16087735270862,4.79298225747774,3.48345518212266,2.99439565410675,3.77269812997863,3237.15,42059.06,25063.21,1082.4,1
2020-06-18,17.41,15.93,23.44,23.30,19.76,0.00542598591019186,0.00594070034265557,0.00333661851117117,0.000368520143250504,0.00652096127419166,864.64,138.136720576038,136.418812352297,257.897364323559,301.99761959535,228.488935379712,-2744832.5,-646567.5,111283.3,85321.6,-18694.8,5.91962123771321,8.81877095511628,6.24203417758825,4.68969407087915,5.1740865376887,3229.75,42699.72,25534.76,1008.39,1
2020-06-19,13.04,12.27,18.86,20.58,15.09,0.00276174187407312,0.003365872864578,0.000800157131467892,0.00240494579563927,0.00182798943070412,793.12,238.137317575591,166.937654255679,258.923722463392,241.742791004987,236.128607363399,-2748189.7,-670816.4,106190.9,80977.6,-19917.9,11.2330234404884,12.1838800551406,8.05050698483228,6.7899543013125,7.52473465401857,3222.3,41665.87,26157.48,1007.06,1
2020-06-20,12.17,12.95,17.24,16.33,12.77,0.000995508788262188,0.000635765560789636,0.000168520917120895,0.000461022707011044,0.00171549292947615,592.77,215.521592348097,225.966666406142,273.847694225824,287.392420930088,217.66020371441,-2772715.5,-904139.9,95226.7,67139.8,-26457.1,9.59921007673788,9.19894085110833,6.96521077214645,6.98465304345073,7.05224079118591,3229.82,42005.88,24495.61,1001.28,1
2020-06-21,13.64,14.27,18.10,17.33,14.50,0.000456865454823567,0.000633510854120884,0.000371657717634927,9.96813464593273e-05,0.000349636932604245,570.33,265.185118032524,224.532464788129,247.90513614485,287.108295036554,293.286325838477,-2777446.8,-1033678.1,90138.7,54883.2,-29010.6,6.35101420430034,5.90855034463548,4.51931343779135,5.6055551180215,5.288273433125,3225.33,41822.57,25000.8,977.9,1
2020-06-22,16.35,15.48,20.60,19.24,16.52,0.00525263499361954,0.0081113510550299,0.00539448248528822,0.00734331852415384,0.00207240048773719,733.72,147.337300372748,148.699205173162,184.555761896415,195.649321769497,154.637348135801,-2748833.4,-699996.4,106137,74952.6,-20590.6,5.35477065212671,6.00420244292314,3.89925611117549,3.92081649429729,3.50406977723627,3220.11,42462.88,24769.48,976.43,1
2020-06-23,13.68,12.81,18.45,18.77,15.47,0.00029714874128469,0.00185962283587067,0.000761958387486658,0.00392527120394427,0.000637788534928329,843.82,264.915750959195,193.630193443366,262.868946895616,205.311880529712,241.079552423877,-2746717.2,-663015.2,106244.3,79335.4,-19415.4,9.23719358576296,8.00613882083671,7.1652925248446,5.52820677002588,6.55820938268701,3223.08,42281.13,25049.83,975.89,1
2020-06-24,12.05,12.33,14.51,16.84,13.13,0.00357598860332599,0.00387934049987049,0.00633231057357514,0.00398191617341565,0.00533113062143217,942.51,196.212652320139,183.076069038124,168.423426854727,262.010174576958,216.946821771081,-2746221.9,-649018.8,105941.6,78904.9,-19191,6.02449408257589,6.92621772035408,3.7545102111563,4.01815244285279,4.04519298279767,3237.97,42693.54,24842.33,974.51,1
2020-06-25,15.31,14.34,17.42,17.00,14.88,0.000166248676680579,0.00209007215731822,3.06588505888097e-05,0.000526581447153378,0.000300576126370941,942.84,273.929882551913,219.196565336603,300.280453229727,285.155376337941,252.016715284951,-2748113.1,-660224.6,105871.1,78991.3,-19477.2,4.38876784104722,4.3156941726509,4.3084534662707,5.42114605596915,3.80884260362211,3235.43,42608.54,24928.46,972.22,1
2020-06-26,18.54,15.69,22.58,20.55,19.55,0.00466140261717725,0.00594867324566687,2.64646583060728e-05,6.03733219520677e-05,0.000143888826715615,903.55,222.989861366238,171.52158539108,312.311535167641,322.905783712896,289.028078630237,-2752038.5,-689161,108187.6,80240.9,-19695.5,3.92150589836091,4.44560927805651,4.47883310695474,3.0376451742574,5.21369841007553,3230.18,44042.09,26275.83,973.64,1
2020-06-27,17.00,14.85,26.48,25.88,21.92,0.012242450340923,0.00539469083769224,6.03639838174468e-05,5.52757159962597e-05,0.00163369292188823,721.28,162.843162746427,180.788489981424,275.632954145685,285.928052152895,232.846421259072,-2777280.5,-930535.1,103681.9,76724.9,-25299.2,3.14693020337338,3.79165128322347,3.82399216095151,4.72486669125926,2.68915603083112,3277.77,42646.59,27280.78,972.44,1
2020-06-28,13.04,13.20,19.92,23.71,15.16,0.0146046044512991,0.00537284229329864,0.00207029891253855,0.00121669570476945,0.00601867920576095,473.20,143.517912479579,199.674680689323,212.395874515056,287.923711516835,141.706243402169,-2779932.5,-1048487.8,91692,61497.9,-28252.6,8.82366098852907,7.04122892564942,10.0945569609749,8.72334419604322,8.45619015285811,3282.07,42545.55,25949.28,972.36,1
2020-06-29,13.44,13.28,18.51,18.10,14.72,0.00247567487615685,0.0039068255530015,0.00409849493310997,0.00166968606317536,0.0042926406124994,810.98,211.444711405246,176.909271192721,257.292409219191,268.892205170721,209.925509984139,-2752942.8,-700083.1,104352.6,74452.9,-21048.3,7.66621857588027,7.69975190991327,5.75053904682045,7.05124159853867,5.93350800678431,3255.27,42881.23,24577.14,972.53,1
2020-06-30,14.06,14.42,20.10,20.06,15.34,0.00229884086044953,0.00166321715244588,0.00188920388153584,0.00242976231351499,0.00291342604020018,601.88,199.55750609692,201.382384548627,241.037434011193,254.667744524443,190.285876807327,-2751478.6,-669935.4,107969,80277.1,-19511.1,6.1561252204003,6.28600634682041,4.52380948831339,4.29930186974503,4.62813728566455,3251.35,42089,24731.14,981.26,1
2020-07-01,14.55,15.21,18.52,19.71,15.44,0.00101821050422896,0.00122235605066992,0.00573520144910358,0.00406054915772737,0.00273037170768303,897.95,230.130549226759,233.246828350528,210.24608287815,245.392266646392,229.365579838983,-2752427.5,-676018.9,107451,81423.6,-19600.2,4.04215291041658,4.94003437803849,3.39404178763686,3.63923778267233,2.99189685649583,3267.22,41083.65,24188.15,1033.14,1
2020-07-02,15.40,16.09,20.54,18.08,16.47,0.000802672544414805,0.000525942155453124,0.000168791530119727,0.0139403813150498,0.00166357138410416,1002.96,230.076558610758,243.924302072287,289.635304349338,200.756373647656,266.353138588174,-2753675.3,-688028.6,108626.6,80323.6,-19829.2,3.7347661427554,4.33935740321126,3.77274376283025,3.79847404408151,3.12891602884264,3286.01,40926.01,23959.87,1036.18,1
2020-07-03,17.10,17.54,21.24,19.65,16.99,0.00136227085875074,0.0017986358143754,0.0028674632409665,0.00558672412825799,0.0046493303093548,980.46,163.327117709538,221.845758337148,204.086612835658,224.295103011531,155.991112174478,-2758772.9,-722572.1,107802.4,80333.2,-20491.2,1.9186305011906,2.82003586533744,2.96267760380942,3.07299147176993,1.82373883518236,3278.71,41179.08,23559.84,1040.71,1
