date,electricity_demand_CZ,electricity_demand_DE,electricity_demand_FR,electricity_demand_HU,electricity_demand_PL,electricity_demand_RO,electricity_demand_SK,irradiance_CZ,irradiance_DE,irradiance_FR,irradiance_HU,irradiance_PL,irradiance_RO,irradiance_SK,air_temp_CZ,air_temp_DE,air_temp_FR,air_temp_HU,air_temp_PL,air_temp_RO,air_temp_SK,price_mwh_eur_DAM
2023-06-11,136388.9,1117445.8,937780.4,94005.2,325519,112498.2,64281.9,273.3283432570833,312.4236292725,266.66809684004164,218.62058059583333,281.06111750416665,256.13306853958335,211.5861650625,290.6515279166667,293.7672258333333,293.2493645833333,292.7644483333333,290.67932125,291.7358683333333,290.2245041666667,42.69
2023-06-12,163643.3,1436763.7,1126543.8,105712.2,389997.8,130185.2,71550.3,303.65451581291666,317.4409084670833,253.01669133175002,293.1377485291667,286.61960193916667,157.61445736791669,313.3888203208333,288.801345,293.07895041666666,292.8497145833333,290.9101366666667,289.1350820833333,288.8034254166667,287.8237495833333,97.00
2023-06-13,164669.3,1474680.2,1157820.5,108148.7,405667.2,135889.7,73301,291.3907260258333,321.214395164,253.25839136645834,247.53289271083335,161.97396617333334,148.14439084375,247.92598912083335,287.29807,291.4391533333333,292.84407208333334,289.36776291666666,286.7978533333333,288.36387125,286.66176333333334,93.21
2023-06-14,165380.1,1479480.5,1164661.2,108908,407483.9,137082.7,73446.6,265.33853359,266.30501298583334,297.93872947766664,260.80552563333333,180.9514874708333,211.6357782625,266.2589361916667,287.28434875,290.48668208333333,293.36035875,290.69468291666664,288.16411375,290.88385166666666,287.7114045833333,105.42
2023-06-15,164893.6,1476291.6,1163181,109936.9,406769.8,137898.9,73449.7,267.0901381454167,267.7951079502083,298.05166837108334,265.6991365791667,229.07574552666665,205.18266766833332,262.0678377,288.1164566666667,290.93530749999996,293.05327458333335,292.38402375,289.03411875,292.02812,289.3380829166667,119.17
2023-06-16,162134.1,1442952.3,1153346.3,109527.4,403436.5,136833.1,73130.9,263.86024612708337,252.30898230833336,301.4097924574167,192.06774223833335,221.12140763624998,170.05517975541667,220.56621052083332,288.30718916666666,290.25393791666664,293.72720499999997,292.1996354166667,289.8568883333333,292.15752000000003,289.82787666666667,127.47
2023-06-17,137995.1,1219982.6,1025712,98923.5,363652,124926.9,66580.6,264.14805426333334,287.96578878458337,298.0460615079583,229.99056269583332,208.65978437833334,170.617943185,223.71337820833332,288.8143283333333,291.55649,294.97896041666667,292.1581066666667,290.0690866666667,291.7533054166667,289.61802,104.53
2023-06-18,134257.7,1110867.8,960486.2,94603.4,324962.9,112695.5,64167.3,278.94293634666667,292.057555745,222.64588005208336,296.8154243775,225.6075831625,204.30417752083335,272.7742932833333,291.4026845833333,293.91239875,294.00956833333333,294.03988375,290.6288366666667,292.1416520833333,290.92930916666666,92.82
2023-06-19,163859.2,1456842.9,1149006.1,109917.6,395101.7,131933.7,72263.6,276.4633588925,248.32395753625,227.39058418508333,288.59841775958336,261.00468671125003,245.76495461666664,278.38848336250004,293.76911791666663,295.20676125,293.69327833333335,295.6645158333333,292.99739916666664,292.3908725,292.8657775,117.31
2023-06-20,168524.7,1504841.2,1184922.5,114746.7,415296.9,138063.3,74767.3,271.71644656041667,236.97769034083333,230.529088114875,297.64764535666666,262.48420219583335,283.9427586125,276.59396515416665,296.48419,295.728715,294.24815375,297.47563916666667,295.68392708333334,293.6860204166667,294.95437083333337,121.41
2023-06-21,169396.2,1506682.9,1188929.4,117055.6,420397.6,140013.7,75356.8,273.06196331375,259.62072328150003,244.05330020383334,280.3130645766667,227.56757974791665,285.60277726,246.64587865,296.19735583333335,295.10318708333335,294.35107708333334,298.61925375,296.00723625,294.98193625,295.4362341666667,123.73
2023-06-22,169716.6,1510912.8,1186560.1,118465.4,419116.9,140609,75803.4,285.174938145,240.6495803933333,181.37734167529166,292.61395581541666,283.12888680833333,261.07564038749996,278.87249805833335,296.65127125,295.2527654166667,292.7880479166667,299.2280170833333,295.4272720833333,295.39401208333334,296.5047579166667,126.29
2023-06-23,165122.5,1474715.5,1161794.9,117251.7,413765.6,142082.1,75291.4,219.605192125,152.77758665216666,303.00995911458335,277.9092516375,159.83205083833334,304.7426583958333,195.54795373750002,292.6138054166667,291.02784541666665,293.48705125,298.84802916666666,292.9992458333333,297.32783875,295.3330425,111.30
2023-06-24,138131.6,1231979.4,1034250.9,102884.2,368474.7,129993.3,68282.2,159.32408215916666,278.0273201764583,338.37269372833333,208.98086272499998,212.74540974166666,261.17076846833334,111.55015048333333,290.20380125,292.64700208333335,295.2033195833333,294.377795,291.9861554166667,296.220595,291.4409025,81.43
2023-06-25,133444,1120436.3,978768.9,97228.8,329391.3,113991.5,65210.6,239.22590347833332,292.0270546585,338.477441768125,214.39447554333333,257.36063338125,183.1729542875,255.91195822916666,292.04418,294.98365541666664,296.3823208333333,294.57091625,292.5048904166667,293.04062458333334,292.57954375,75.02
2023-06-26,162941.1,1464005.8,1152605.8,111802.9,398639.7,133132.6,73141.2,259.93840722125,274.126265285,290.51964124708337,268.147771925,272.26334950125,254.7070488375,261.91074038749997,294.6611883333333,294.62149958333333,293.7600475,295.709725,293.96027166666664,293.3711554166667,293.5247904166667,107.92
2023-06-27,163688.9,1480597.9,1172167.2,111997.9,405877.5,138335.5,74384,229.97442519749998,230.67872143233333,309.035805484375,209.5728313,211.98071076250002,264.31593909583336,168.94869934166667,289.60530208333336,290.2809879166667,292.46525625,293.31210916666663,289.7336079166667,293.9743833333333,289.9066275,104.03
2023-06-28,162682.3,1486029.7,1182731,110320.7,405217.5,135806.2,73730.2,242.88772548458334,193.31231785166668,271.07636332633336,245.95935965833334,199.74462018166665,151.58843010291667,263.57936187083334,288.81088875,290.50850041666666,293.3780595833333,291.38858625,288.81221125,288.82424,288.34659375,112.34
2023-06-29,161914.1,1494723.2,1188039.1,111451,408978.6,135971.6,73922.5,261.35404844895834,199.33601078854167,234.10527119483334,255.85485695833333,247.59118260833336,260.6978718583334,227.76154450833334,291.99992416666663,292.88350583333334,293.3619645833333,293.21910583333334,292.22878166666663,290.008175,291.10419041666665,118.18
2023-06-30,158287.3,1460434.8,1155171,111589,408133.6,136556.5,73270.2,197.244282490625,177.392875060125,203.47726769534583,286.8031764554167,204.43431240666666,302.4878793,266.3444135583333,292.35055833333337,290.91876375,290.62151208333336,295.42689333333334,292.90398625,292.878775,293.179105,112.02
2023-07-01,135390,1233130.5,1024517.2,102798.4,365915.2,128274.4,67451.9,222.8362194736667,133.31556695279167,143.55685104175,259.02979877083334,199.96066288041666,298.5901511875,222.56135964583336,292.37798875,290.4513358333333,291.08001874999997,296.175985,292.25393916666667,294.6269733333333,293.5183025,70.95
2023-07-02,131694.1,1101642.8,946504.9,97838.3,326969.8,115308.4,64909.8,229.73219035358338,214.31389966558334,222.3238924376667,266.75494051333334,204.50275462708336,230.85894383500002,250.07375015416667,291.8529720833333,290.6152266666667,291.848785,296.4747933333333,291.91342875000004,293.9465754166667,293.32340125,34.21
2023-07-03,158931.7,1440521.5,1138530.2,112295.5,391567.8,135324.1,73079.2,225.28243864166666,195.02635514070835,229.298473401375,263.1010504491667,220.79037495000003,255.78892166666665,253.1636797641667,291.8309566666667,290.20897541666665,291.98126874999997,296.40464541666665,291.84948291666666,294.893255,293.4340516666667,95.77
2023-07-04,155487.3,1470953.9,1167060.2,113894.1,406432.4,140592.5,72986.5,245.04798089291668,253.3664786136667,240.00392633883334,160.51436307916669,253.03800263333335,277.49570689583334,186.75289956666668,292.74174833333336,290.88096083333335,292.0706558333333,294.35993125,292.5984504166667,295.6326829166667,293.31157666666667,106.51
2023-07-05,131563.8,1476544.9,1161643.6,115416,409788.1,141254.5,68034,253.20848448179166,229.67295229437502,250.15251896516668,270.2108269195833,262.73226212083335,263.23031569458334,281.0315924166667,292.09629875,289.96425125,291.06050708333333,296.40913541666663,293.41247,295.45622791666665,294.0950245833333,96.32
2023-07-06,127395.6,1466412.1,1168793.1,114820.4,407183.2,141730.4,72428.7,254.07436382995834,252.72141141820836,284.06166413,257.03561347916667,236.70454977916668,263.18342160416665,213.37242766666668,291.31560333333334,290.33071624999997,292.7036591666667,295.612005,291.9153566666667,295.528655,292.07231125,107.39
